Date,Channel,Type,Amount
"2018 Oct 6, 12:58 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 6, 13:03 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 6, 14:19 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 6, 14:26 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 6, 14:43 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 6, 16:34 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 15:21 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 15:29 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 15:32 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 15:33 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 15:34 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 15:35 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 15:38 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 15:43 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 15:46 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 15:46 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 15:47 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 15:48 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 15:49 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 15:50 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 15:52 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 15:54 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 16:42 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 16:43 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 16:45 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 16:54 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 16:55 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 7, 16:58 PDT",PirateSoftware,Cheering,50 Bits
"2018 Oct 20, 23:17 PDT",PirateSoftware,Cheering,5 Bits
"2018 Dec 12, 15:34 PDT",PirateSoftware,Cheering,100 Bits
